IDOfClassifiersUsed	nrOfClassifiersUsed	dev	test.Twitter2014	test.Twitter2014Sarcasm	test.Twitter2013	test.SMS2013	test.LiveJournal2014
"1,6,8,9,12"	5	0.6175433	0.6331595	0.480695	0.6101604	0.5649775	0.629252
"1,6,9,10,11"	5	0.5695956	0.62637	0.4574826	0.5960857	0.5616477	0.6421541
"1,6,9,10,12"	5	0.5670419	0.6056452	0.445	0.5779534	0.5604011	0.6215906
"1,6,9,11,12"	5	0.5947818	0.6244752	0.3938776	0.5930183	0.572152	0.6285327
"1,7,10,11,12"	5	0.4857739	0.5567619	0.3249386	0.5671815	0.5703902	0.6261314
"1,7,8,10,11"	5	0.5287347	0.5359533	0.4435294	0.5527648	0.5268207	0.5499542
"1,7,8,10,12"	5	0.5339129	0.5529147	0.4527163	0.5700114	0.560666	0.6109686
"1,7,8,11,12"	5	0.5745396	0.5936556	0.454932	0.6082868	0.5765013	0.6372543
"1,7,8,9,10"	5	0.5776547	0.5972935	0.46337	0.5677453	0.5478543	0.5909893
"1,7,8,9,11"	5	0.6125341	0.604135	0.4235821	0.5931459	0.5575388	0.619888
"1,7,8,9,12"	5	0.5995796	0.6288215	0.4358108	0.6151715	0.5804905	0.6192559
"1,7,9,10,11"	5	0.5667901	0.590395	0.4157823	0.5598342	0.5227738	0.5718309
"1,7,9,10,12"	5	0.5743826	0.5999781	0.4035674	0.5780271	0.5417452	0.5952855
"1,7,9,11,12"	5	0.5723904	0.6022088	0.3702719	0.5861931	0.5387041	0.5929355
"1,8,10,11,12"	5	0.549509	0.5927673	0.4154589	0.6021349	0.5915119	0.6329912
"1,8,9,10,11"	5	0.6139338	0.6057922	0.425	0.5965648	0.5741306	0.6185731
"1,8,9,10,12"	5	0.6104599	0.6331166	0.4166667	0.6028764	0.5830289	0.6215162
"1,8,9,11,12"	5	0.6221607	0.6276598	0.4616977	0.6148806	0.5791765	0.6262455
"1,9,10,11,12"	5	0.569409	0.6000073	0.3819444	0.5850385	0.5440358	0.5927238
"2,3,10,11,12"	5	0.5363112	0.5669672	0.3483568	0.5707717	0.5453026	0.59123
"2,3,4,10,11"	5	0.6530015	0.6448222	0.4388506	0.647307	0.6168599	0.7057749
"2,3,4,10,12"	5	0.616417	0.6306249	0.4301413	0.6318704	0.6353578	0.6978433
"2,3,4,11,12"	5	0.6334512	0.640476	0.4475997	0.6606105	0.6376893	0.7249596
"2,3,4,5,10"	5	0.6472617	0.6398622	0.4546067	0.6332955	0.6100243	0.679073
"2,3,4,5,11"	5	0.6392776	0.6532741	0.4606643	0.6495477	0.5998293	0.6878659
"2,3,4,5,12"	5	0.6299124	0.6527178	0.4188506	0.6553462	0.6002231	0.6752727
"2,3,4,5,6"	5	0.6394007	0.6523084	0.4335601	0.6582049	0.6112715	0.6762134
"2,3,4,5,7"	5	0.6282932	0.656772	0.4423256	0.6520864	0.6116452	0.6830225
"2,3,4,5,8"	5	0.6616682	0.6471058	0.4475997	0.6608247	0.621169	0.6899816
"2,3,4,5,9"	5	0.6608105	0.6658469	0.4676923	0.6583691	0.6124084	0.6879703
"2,3,4,6,10"	5	0.6321369	0.6301607	0.4085145	0.6317684	0.6124108	0.6836793
"2,3,4,6,11"	5	0.6398352	0.64152	0.4511111	0.6556978	0.6211462	0.7063467
"2,3,4,6,12"	5	0.6225882	0.6384241	0.4511111	0.6459778	0.6179937	0.6922607
"2,3,4,6,7"	5	0.6279016	0.634028	0.4231141	0.6418911	0.615851	0.6923882
"2,3,4,6,8"	5	0.6261503	0.6369439	0.4109848	0.648154	0.6071239	0.6733161
"2,3,4,6,9"	5	0.6394873	0.6588656	0.4511111	0.6665187	0.6184501	0.6852284
"2,3,4,7,10"	5	0.6219677	0.6424567	0.479085	0.641729	0.6227483	0.6909218
"2,3,4,7,11"	5	0.6512736	0.6417648	0.4460194	0.6533138	0.6176672	0.7183826
"2,3,4,7,12"	5	0.6037667	0.6171182	0.4505495	0.6389212	0.6138967	0.6815653
"2,3,4,7,8"	5	0.6395897	0.6388838	0.4406308	0.6563845	0.620319	0.6838439
"2,3,4,7,9"	5	0.6120225	0.6533083	0.4711111	0.6547678	0.6073368	0.6713468
"2,3,4,8,10"	5	0.6391558	0.6313815	0.4145115	0.6473562	0.6042359	0.6887275
"2,3,4,8,11"	5	0.6162516	0.6268506	0.4327938	0.6477707	0.6222702	0.6842022
"2,3,4,8,12"	5	0.6196534	0.6421338	0.4233024	0.6489852	0.6273945	0.6844784
"2,3,4,8,9"	5	0.631241	0.652662	0.4646962	0.6547736	0.6099275	0.6801897
"2,3,4,9,10"	5	0.6162998	0.6514179	0.4594771	0.6491538	0.6186334	0.6905346
"2,3,4,9,11"	5	0.6629516	0.6678092	0.4756852	0.6642565	0.6308758	0.7205957
"2,3,4,9,12"	5	0.621027	0.6484919	0.4650794	0.6454187	0.6207721	0.6773626
"2,3,5,10,11"	5	0.6048684	0.6198619	0.4551282	0.5964974	0.5670133	0.6567189
"2,3,5,10,12"	5	0.6187909	0.5928641	0.479721	0.5919637	0.5899585	0.6622116
"2,3,5,11,12"	5	0.6013277	0.6124173	0.4176829	0.6121333	0.5830529	0.659333
"2,3,5,6,10"	5	0.5826446	0.6181684	0.4655909	0.5943835	0.5719148	0.6532735
"2,3,5,6,11"	5	0.606083	0.6159149	0.4089506	0.6091927	0.5780256	0.6626568
"2,3,5,6,12"	5	0.6057034	0.60581	0.4252786	0.5910238	0.5779758	0.6512091
"2,3,5,6,7"	5	0.5904938	0.5966748	0.4263211	0.5897053	0.5687442	0.6621059
"2,3,5,6,8"	5	0.6030619	0.6331324	0.4303571	0.6342158	0.5843113	0.655054
"2,3,5,6,9"	5	0.6297243	0.6624122	0.4495457	0.6530458	0.5949671	0.6669112
"2,3,5,7,10"	5	0.6049216	0.6184863	0.4976471	0.5980211	0.5652087	0.6531563
"2,3,5,7,11"	5	0.6178297	0.6153172	0.4355401	0.6050048	0.5715013	0.66297
"2,3,5,7,12"	5	0.6004233	0.5844753	0.4315476	0.5912454	0.5683984	0.6565588
"2,3,5,7,8"	5	0.6290011	0.6281669	0.4775036	0.6337648	0.5651942	0.6480544
"2,3,5,7,9"	5	0.6270854	0.6435796	0.4407051	0.6281807	0.5649226	0.6419905
"2,3,5,8,10"	5	0.6147286	0.6242364	0.4841629	0.6301701	0.5639799	0.6539537
"2,3,5,8,11"	5	0.6384111	0.6309031	0.4561102	0.6506026	0.5774069	0.6618443
"2,3,5,8,12"	5	0.6228946	0.6271625	0.4212963	0.6555453	0.5961657	0.6489402
"2,3,5,8,9"	5	0.639506	0.6324547	0.4809877	0.627045	0.5725723	0.6340682
"2,3,5,9,10"	5	0.6239056	0.6533238	0.5347222	0.6391045	0.5734568	0.6502538
"2,3,5,9,11"	5	0.6447621	0.66523	0.4443627	0.6509449	0.5921964	0.6791759
"2,3,5,9,12"	5	0.6361327	0.643162	0.4813486	0.636965	0.5742406	0.6451421
"2,3,6,10,11"	5	0.5388318	0.5730178	0.4005006	0.5370638	0.5323971	0.5987244
"2,3,6,10,12"	5	0.5304635	0.5660509	0.3363095	0.5728133	0.5361262	0.6333952
"2,3,6,11,12"	5	0.5366027	0.5878468	0.3365938	0.5770528	0.5463246	0.6250101
"2,3,6,7,10"	5	0.5138697	0.5680927	0.3915205	0.5442073	0.5132323	0.5775808
"2,3,6,7,11"	5	0.5185417	0.5719485	0.3130602	0.552308	0.502002	0.6085966
"2,3,6,7,12"	5	0.534657	0.5593237	NaN	0.5686682	0.5349105	0.6354265
"2,3,6,7,8"	5	0.5346955	0.5541278	0.4526374	0.5839202	0.5385986	0.621198
"2,3,6,7,9"	5	0.5822129	0.5926745	0.3756137	0.5899539	0.5373302	0.597344
"2,3,6,8,10"	5	0.529387	0.5805926	0.4536052	0.5800293	0.5441778	0.6207394
"2,3,6,8,11"	5	0.5514661	0.5779444	0.4026741	0.5896658	0.5355588	0.6168579
"2,3,6,8,12"	5	0.5531309	0.5817423	0.4171938	0.6102296	0.5643324	0.6245325
"2,3,6,8,9"	5	0.5821906	0.5849577	0.4493243	0.5873121	0.5406798	0.6061908
"2,3,6,9,10"	5	0.5626779	0.5976801	0.4557823	0.5817313	0.5355578	0.5951284
"2,3,6,9,11"	5	0.5721452	0.6058724	0.3645181	0.5946771	0.5599405	0.5990941
"2,3,6,9,12"	5	0.5789532	0.6035578	0.4198718	0.6008933	0.5533668	0.6061029
"2,3,7,10,11"	5	0.4960974	0.537494	0.3657051	0.521294	0.4993833	0.5199631
"2,3,7,10,12"	5	0.5405738	0.5620337	0.3302954	0.5862164	0.547428	0.6233128
"2,3,7,11,12"	5	0.5310488	0.5611173	0.3765601	0.5770726	0.5562205	0.5973883
"2,3,7,8,10"	5	0.5482315	0.5592694	0.4333333	0.5623332	0.5369346	0.5959697
"2,3,7,8,11"	5	0.566809	0.5714939	0.4412896	0.5879661	0.5497151	0.5997602
"2,3,7,8,12"	5	0.5519007	0.5677111	0.4471141	0.5887742	0.5482477	0.602409
"2,3,7,8,9"	5	0.589552	0.5899527	0.4141156	0.5719646	0.5367773	0.5818171
"2,3,7,9,10"	5	0.5759799	0.5929269	0.4107143	0.5772353	0.5320006	0.579908
"2,3,7,9,11"	5	0.5866563	0.5930147	0.3672525	0.5825553	0.5341342	0.5800882
"2,3,7,9,12"	5	0.5742793	0.5891304	0.403481	0.5896664	0.5452826	0.5965518
"2,3,8,10,11"	5	0.5512614	0.5722674	0.4369748	0.583413	0.5560058	0.6122738
"2,3,8,10,12"	5	0.5420941	0.581013	0.4104859	0.5895322	0.5656856	0.6282217
"2,3,8,11,12"	5	0.5640954	0.5877266	0.4534328	0.6073815	0.5794625	0.6090102
"2,3,8,9,10"	5	0.5913596	0.5874603	0.44	0.570644	0.5227773	0.580337
"2,3,8,9,11"	5	0.5898025	0.5948373	0.4147567	0.5860188	0.5654734	0.6020833
"2,3,8,9,12"	5	0.5915267	0.6009639	0.4293478	0.5898267	0.558022	0.5939613
"2,3,9,10,11"	5	0.5686852	0.598855	0.4207746	0.5836566	0.5467404	0.5961912
"2,3,9,10,12"	5	0.5816009	0.5909447	0.4192352	0.5825745	0.5484701	0.5944625
"2,3,9,11,12"	5	0.5705092	0.6084644	0.356535	0.6003095	0.5512424	0.5924278
"2,4,10,11,12"	5	0.6318881	0.6409234	0.3893971	0.651317	0.6398923	0.7189087
"2,4,5,10,11"	5	0.6381656	0.6327139	0.4714695	0.6426249	0.5970842	0.6902833
"2,4,5,10,12"	5	0.6368484	0.6445722	0.4462279	0.6358619	0.6155783	0.6914915
"2,4,5,11,12"	5	0.6348025	0.6436391	0.46337	0.6464902	0.6066258	0.6873679
"2,4,5,6,10"	5	0.6375154	0.6268392	0.4326923	0.6237168	0.6032007	0.6890481
"2,4,5,6,11"	5	0.641515	0.6386923	0.461039	0.6437806	0.6028141	0.6964967
"2,4,5,6,12"	5	0.6284391	0.6319426	0.4431818	0.6362376	0.6075684	0.6764046
"2,4,5,6,7"	5	0.6345921	0.6289354	0.4388506	0.6299059	0.6144743	0.6770436
"2,4,5,6,8"	5	0.6447905	0.6505638	0.4335601	0.650865	0.6159679	0.7088179
"2,4,5,6,9"	5	0.6578923	0.663971	0.4711111	0.6556823	0.613692	0.6953886
"2,4,5,7,10"	5	0.6235012	0.6414739	0.4569444	0.6253272	0.5981843	0.6796748
"2,4,5,7,11"	5	0.6253476	0.6741239	0.4306977	0.656903	0.608741	0.6976285
"2,4,5,7,12"	5	0.63461	0.6442372	0.4451827	0.6360251	0.6159818	0.6943989
"2,4,5,7,8"	5	0.6587899	0.6465459	0.4487395	0.6488137	0.6206557	0.6959686
"2,4,5,7,9"	5	0.665723	0.6582383	0.4496753	0.6553726	0.610356	0.6965748
"2,4,5,8,10"	5	0.6473236	0.6440257	0.4468182	0.6449007	0.6109642	0.7011302
"2,4,5,8,11"	5	0.6502564	0.6549361	0.4750446	0.6523321	0.6202077	0.6998814
"2,4,5,8,12"	5	0.655798	0.6523662	0.4750446	0.653065	0.6211419	0.6910056
"2,4,5,8,9"	5	0.674631	0.6760088	0.4636809	0.6614974	0.6184894	0.7037133
"2,4,5,9,10"	5	0.6634496	0.6687791	0.46	0.6571234	0.6178166	0.6954415
"2,4,5,9,11"	5	0.6660118	0.6777641	0.4798951	0.6603942	0.6073702	0.700669
"2,4,5,9,12"	5	0.666692	0.6679333	0.4633708	0.657375	0.6086724	0.6923817
"2,4,6,10,11"	5	0.6457349	0.6570262	0.4511111	0.6531444	0.6267837	0.7108812
"2,4,6,10,12"	5	0.6240398	0.6393124	0.411859	0.6441729	0.6301187	0.7149682
"2,4,6,11,12"	5	0.6382202	0.6412347	0.4495238	0.6493398	0.6338586	0.7146178
"2,4,6,7,10"	5	0.6292652	0.6340471	0.4140753	0.6428215	0.6209333	0.6930367
"2,4,6,7,11"	5	0.6386006	0.6354589	0.4423529	0.6489827	0.606596	0.705514
"2,4,6,7,12"	5	0.6131484	0.631037	0.4217033	0.6352234	0.6180309	0.6970589
"2,4,6,7,8"	5	0.6256895	0.6407374	0.4273256	0.6494523	0.6115487	0.6926995
"2,4,6,7,9"	5	0.6478226	0.6618775	0.4417077	0.6609689	0.6162299	0.7093045
"2,4,6,8,10"	5	0.6345556	0.6439571	0.4152778	0.646788	0.6228871	0.7073304
"2,4,6,8,11"	5	0.6587559	0.6536462	0.4428571	0.6636119	0.6241507	0.7004752
"2,4,6,8,12"	5	0.6243202	0.6509483	0.4140753	0.6593887	0.6224463	0.69002
"2,4,6,8,9"	5	0.6431498	0.6489085	0.4418391	0.6541701	0.6046162	0.6773642
"2,4,6,9,10"	5	0.6410444	0.675737	0.4376664	0.6600088	0.6360899	0.7144558
"2,4,6,9,11"	5	0.6510787	0.6729458	0.4440731	0.681022	0.6329644	0.7212803
"2,4,6,9,12"	5	0.6340505	0.6565227	0.3985178	0.6472698	0.6049954	0.6907801
"2,4,7,10,11"	5	0.6157282	0.6345305	0.4116056	0.6365107	0.6192173	0.7071817
"2,4,7,10,12"	5	0.6231052	0.6291436	0.4326923	0.6330755	0.614949	0.694548
"2,4,7,11,12"	5	0.6454917	0.6431168	0.4176829	0.6449245	0.6283361	0.7070286
"2,4,7,8,10"	5	0.6187428	0.6243185	0.4714932	0.6398919	0.6139593	0.6852188
"2,4,7,8,11"	5	0.6308756	0.6503947	0.4495238	0.6449813	0.6220428	0.7116703
"2,4,7,8,12"	5	0.6076921	0.6495083	0.4645147	0.6518087	0.6173715	0.6923874
"2,4,7,8,9"	5	0.6414213	0.672975	0.4263889	0.6585114	0.6185628	0.6913354
"2,4,7,9,10"	5	0.6365641	0.6463012	0.4615385	0.6423484	0.5912223	0.6669119
"2,4,7,9,11"	5	0.6718018	0.6860245	0.4150159	0.6727926	0.6199106	0.7150198
"2,4,7,9,12"	5	0.5963783	0.6734292	0.4827054	0.6501459	0.6077193	0.6716874
"2,4,8,10,11"	5	0.6384365	0.6480996	0.4468182	0.6535245	0.6114024	0.7123641
"2,4,8,10,12"	5	0.6114831	0.6367837	0.4187734	0.6534243	0.6327953	0.6882465
"2,4,8,11,12"	5	0.6446342	0.6514619	0.4714695	0.6678193	0.6285082	0.7282898
"2,4,8,9,10"	5	0.6369775	0.6682238	0.4260057	0.6556548	0.6147338	0.6834362
"2,4,8,9,11"	5	0.646983	0.6686342	0.4495455	0.6642063	0.6069372	0.6933839
"2,4,8,9,12"	5	0.635893	0.6484211	0.4260057	0.6446949	0.5980424	0.6616527
"2,4,9,10,11"	5	0.6485871	0.6798827	0.4440731	0.6728948	0.6344217	0.7201081
"2,4,9,10,12"	5	0.6335914	0.6513075	0.4187734	0.6367232	0.6239529	0.6889991
"2,4,9,11,12"	5	0.6443911	0.6771026	0.4787018	0.6767635	0.6345388	0.7226588
"2,5,10,11,12"	5	0.6262765	0.6142348	0.4355401	0.6038514	0.5811696	0.6676419
"2,5,6,10,11"	5	0.6087392	0.6343268	0.4595616	0.6096565	0.5658679	0.6582486
"2,5,6,10,12"	5	0.6287248	0.6084669	0.444062	0.5954373	0.5896061	0.6766497
"2,5,6,11,12"	5	0.6109502	0.6141708	0.395	0.5944206	0.5838105	0.664072
"2,5,6,7,10"	5	0.6066463	0.5970717	0.4280538	0.5998631	0.5719776	0.6613407
"2,5,6,7,11"	5	0.6083273	0.5963688	0.4607843	0.5907714	0.5648496	0.6724292
"2,5,6,7,12"	5	0.6040861	0.5822755	0.4526829	0.5831189	0.5648338	0.6674501
"2,5,6,7,8"	5	0.5945711	0.6187537	0.4025	0.6221157	0.573223	0.6764169
"2,5,6,7,9"	5	0.6391531	0.64599	0.4489362	0.6298151	0.5851613	0.6898093
"2,5,6,8,10"	5	0.5838781	0.6229483	0.4434524	0.5923156	0.5702088	0.6535454
"2,5,6,8,11"	5	0.6191323	0.6159304	0.4472159	0.6167796	0.5812078	0.664645
"2,5,6,8,12"	5	0.6162297	0.6300399	0.4168162	0.6264307	0.579339	0.6533814
"2,5,6,8,9"	5	0.639612	0.6490527	0.4387013	0.6221875	0.5759252	0.6521654
"2,5,6,9,10"	5	0.6215203	0.6667971	0.4923077	0.6300136	0.5907694	0.6689359
"2,5,6,9,11"	5	0.6245485	0.6746604	0.4851126	0.6544383	0.6016365	0.6819281
"2,5,6,9,12"	5	0.6185826	0.6529517	0.4475	0.6424857	0.5822992	0.6614435
"2,5,7,10,11"	5	0.5949951	0.6066315	0.439951	0.5935759	0.5677611	0.6545999
"2,5,7,10,12"	5	0.622395	0.6051217	0.4276596	0.5931265	0.557957	0.6603489
"2,5,7,11,12"	5	0.6203827	0.6061368	0.4285714	0.5930341	0.5839403	0.6697952
"2,5,7,8,10"	5	0.6119444	0.6183041	0.4575216	0.6052392	0.5635509	0.6565552
"2,5,7,8,11"	5	0.6145584	0.6233462	0.4989744	0.623268	0.5924905	0.6725429
"2,5,7,8,12"	5	0.6090212	0.6334553	0.3950617	0.6299234	0.5773182	0.6558128
"2,5,7,8,9"	5	0.6560837	0.6611817	0.4802681	0.6430125	0.5909158	0.6727238
"2,5,7,9,10"	5	0.6358449	0.6542297	0.4299852	0.6234755	0.5671869	0.671286
"2,5,7,9,11"	5	0.6562947	0.6753834	0.4644701	0.6467947	0.5881113	0.6748695
"2,5,7,9,12"	5	0.6321825	0.6585568	0.438914	0.6347596	0.5848795	0.6567541
"2,5,8,10,11"	5	0.6058807	0.6229811	0.4889706	0.6233396	0.5607555	0.6603003
"2,5,8,10,12"	5	0.6289316	0.6390443	0.4477352	0.6432299	0.5826336	0.657992
"2,5,8,11,12"	5	0.6088632	0.6313915	0.4079641	0.6448187	0.5836551	0.6613438
"2,5,8,9,10"	5	0.646918	0.6654019	0.4773756	0.6219922	0.5619114	0.6430859
"2,5,8,9,11"	5	0.6339799	0.6710559	0.4901961	0.6544217	0.5910655	0.6794864
"2,5,8,9,12"	5	0.6443096	0.6568532	0.44	0.6483688	0.5949946	0.6679779
"2,5,9,10,11"	5	0.6245504	0.6609058	0.4362963	0.630885	0.5805353	0.6747089
"2,5,9,10,12"	5	0.6113525	0.6710757	0.5093809	0.6386885	0.59561	0.677498
"2,5,9,11,12"	5	0.6458824	0.6849643	0.4761792	0.6612347	0.6013278	0.6746297
"2,6,10,11,12"	5	0.5363482	0.5954101	0.3690243	0.5821863	0.5597884	0.6428042
"2,6,7,10,11"	5	0.4972573	0.5463246	0.4259259	0.5206615	0.5197568	0.6169139
"2,6,7,10,12"	5	0.5362713	0.5743312	0.3884343	0.5698715	0.54758	0.6468184
"2,6,7,11,12"	5	0.54092	0.5840474	0.3068694	0.5832396	0.5468299	0.6464737
"2,6,7,8,10"	5	0.5418229	0.5576585	0.4623016	0.5463235	0.5307131	0.607309
"2,6,7,8,11"	5	0.5513432	0.5705592	0.4244705	0.5604201	0.5386364	0.6376674
"2,6,7,8,12"	5	0.5443327	0.5414191	0.4471154	0.576469	0.5461271	0.605688
"2,6,7,8,9"	5	0.5862462	0.5679379	0.4237838	0.5674266	0.5204715	0.5751625
"2,6,7,9,10"	5	0.5602879	0.600048	0.3884343	0.553712	0.5264898	0.5860584
"2,6,7,9,11"	5	0.5904626	0.6019644	0.4031311	0.5748219	0.5390665	0.6109163
"2,6,7,9,12"	5	0.579456	0.6023411	0.3661232	0.5710155	0.5363402	0.5855457
"2,6,8,10,11"	5	0.5515807	0.5788635	0.4185548	0.5540936	0.5535224	0.6100841
"2,6,8,10,12"	5	0.5493076	0.5524999	0.4198158	0.5705024	0.5574436	0.6050248
"2,6,8,11,12"	5	0.5485761	0.5845521	0.3940217	0.5955082	0.5702885	0.6473581
"2,6,8,9,10"	5	0.5918159	0.6164716	0.4382385	0.5910708	0.5637115	0.6402857
"2,6,8,9,11"	5	0.603879	0.5875778	0.4123041	0.58438	0.5477402	0.6061005
"2,6,8,9,12"	5	0.5969397	0.6077794	0.4375187	0.6002276	0.5713325	0.6050073
"2,6,9,10,11"	5	0.5814521	0.6110952	0.4126172	0.5902284	0.559103	0.6186486
"2,6,9,10,12"	5	0.565324	0.5881101	0.4791667	0.5815475	0.5433073	0.6077033
"2,6,9,11,12"	5	0.5880453	0.6073069	0.379529	0.5827242	0.5696969	0.6031251
"2,7,10,11,12"	5	0.5054111	0.5478494	0.3104005	0.5676255	0.5419459	0.6050879
"2,7,8,10,11"	5	0.5225863	0.5312289	0.4202226	0.5406586	0.5203355	0.5656522
"2,7,8,10,12"	5	0.5385512	0.5560363	0.4418934	0.5785301	0.5507572	0.6143597
"2,7,8,11,12"	5	0.5708303	0.5765693	0.3962381	0.6053127	0.5758156	0.6301983
"2,7,8,9,10"	5	0.573363	0.5702941	0.4887671	0.5644366	0.5431923	0.5971589
"2,7,8,9,11"	5	0.5956368	0.5965935	0.4267968	0.573722	0.5380468	0.6000731
"2,7,8,9,12"	5	0.6050229	0.5913746	0.4077528	0.5850823	0.555087	0.5907719
"2,7,9,10,11"	5	0.5597842	0.5803492	0.3918379	0.5635054	0.5214319	0.5749997
"2,7,9,10,12"	5	0.5940756	0.5938145	0.3926864	0.5888003	0.557718	0.6100988
"2,7,9,11,12"	5	0.5888999	0.5961387	0.3672525	0.5928894	0.5540438	0.5972727
"2,8,10,11,12"	5	0.5520456	0.5764195	0.3371212	0.5846345	0.578781	0.6100133
"2,8,9,10,11"	5	0.6052563	0.5905257	0.447205	0.5899102	0.5606498	0.5964912
"2,8,9,10,12"	5	0.6206063	0.6299265	0.4438406	0.6098489	0.5851509	0.6339965
"2,8,9,11,12"	5	0.6115275	0.6009222	0.425	0.5965222	0.5601138	0.5985028
"2,9,10,11,12"	5	0.5877057	0.5934332	0.3667965	0.5903853	0.5584496	0.5934783
"3,4,10,11,12"	5	0.6528067	0.6477423	0.4179035	0.6499028	0.6332731	0.7100877
"3,4,5,10,11"	5	0.6463473	0.6518154	0.4546067	0.6461495	0.6067459	0.6785486
"3,4,5,10,12"	5	0.6220266	0.661299	0.4764477	0.6523076	0.6174041	0.6919152
"3,4,5,11,12"	5	0.6343822	0.6602443	0.4440731	0.6623579	0.6089676	0.6926627
"3,4,5,6,10"	5	0.6370667	0.6480623	0.4396067	0.6435848	0.6119396	0.6891692
"3,4,5,6,11"	5	0.6327664	0.6574459	0.4645551	0.6605643	0.6052528	0.6996126
"3,4,5,6,12"	5	0.6140935	0.6649666	0.4539683	0.6604217	0.6125541	0.6911301
"3,4,5,6,7"	5	0.6270962	0.6617656	0.4217033	0.6518254	0.6192145	0.6960866
"3,4,5,6,8"	5	0.6541044	0.6599146	0.4301413	0.6518682	0.6249826	0.703222
"3,4,5,6,9"	5	0.6644129	0.6726711	0.4875817	0.6629293	0.6264418	0.6983588
"3,4,5,7,10"	5	0.6293613	0.6612908	0.4476923	0.6468034	0.6087938	0.6782465
"3,4,5,7,11"	5	0.6294507	0.6691393	0.4417077	0.6532995	0.6092083	0.6847288
"3,4,5,7,12"	5	0.6083798	0.6690258	0.4574639	0.64783	0.6103389	0.6893375
"3,4,5,7,8"	5	0.6480368	0.6545093	0.3990698	0.6397155	0.6278972	0.6957848
"3,4,5,7,9"	5	0.6525891	0.6758399	0.46	0.6593177	0.6178992	0.6844391
"3,4,5,8,10"	5	0.6328508	0.6598015	0.4618391	0.6514356	0.6262811	0.6959065
"3,4,5,8,11"	5	0.6628332	0.6602449	0.4468182	0.6558935	0.6162248	0.692246
"3,4,5,8,12"	5	0.6246579	0.6596659	0.4301413	0.6509519	0.6347445	0.7010488
"3,4,5,8,9"	5	0.6576762	0.6757347	0.4334783	0.6657743	0.6298966	0.7012859
"3,4,5,9,10"	5	0.6505572	0.6751963	0.4875817	0.6550523	0.6227004	0.6873952
"3,4,5,9,11"	5	0.6689987	0.6782725	0.4801561	0.6612878	0.6158434	0.6961972
"3,4,5,9,12"	5	0.6498294	0.671099	0.4676923	0.6646544	0.6203822	0.6919708
"3,4,6,10,11"	5	0.6332277	0.6496158	0.4679739	0.6533951	0.6211126	0.7157587
"3,4,6,10,12"	5	0.6255749	0.6317424	0.411859	0.6417728	0.6309238	0.7119781
"3,4,6,11,12"	5	0.6361687	0.6470896	0.4511111	0.6574132	0.6285761	0.7040657
"3,4,6,7,10"	5	0.6207325	0.6382758	0.4212996	0.646947	0.6153998	0.7087252
"3,4,6,7,11"	5	0.6463499	0.6518576	0.4191523	0.6541355	0.6298965	0.70592
"3,4,6,7,12"	5	0.6119822	0.6327744	0.4383117	0.6390264	0.6073436	0.6855739
"3,4,6,7,8"	5	0.627236	0.6414548	0.4354545	0.6495999	0.618781	0.6930402
"3,4,6,7,9"	5	0.6406776	0.6556819	0.4363354	0.664118	0.6338414	0.6993035
"3,4,6,8,10"	5	0.6287769	0.6467038	0.4212996	0.6543246	0.6260776	0.7063022
"3,4,6,8,11"	5	0.6398304	0.6615556	0.440096	0.6625348	0.621641	0.7106389
"3,4,6,8,12"	5	0.6187284	0.6578461	0.3980676	0.653154	0.6229816	0.6985113
"3,4,6,8,9"	5	0.6347842	0.6603878	0.4676923	0.6633169	0.6160454	0.6957244
"3,4,6,9,10"	5	0.635335	0.6593053	0.436828	0.6661197	0.6275685	0.6989843
"3,4,6,9,11"	5	0.6624363	0.6708913	0.4518616	0.6764258	0.6340755	0.7219878
"3,4,6,9,12"	5	0.6362068	0.6683026	0.4342769	0.6662692	0.6204354	0.6977805
"3,4,7,10,11"	5	0.6405934	0.6538951	0.4423256	0.6487797	0.616429	0.7045842
"3,4,7,10,12"	5	0.6142588	0.6382441	0.4523173	0.6349873	0.6150726	0.6838343
"3,4,7,11,12"	5	0.6264838	0.6553835	0.4388506	0.6605328	0.6412369	0.7143327
"3,4,7,8,10"	5	0.630191	0.6466503	0.4503448	0.6527037	0.6197541	0.6920127
"3,4,7,8,11"	5	0.6470098	0.6426548	0.4412048	0.6539007	0.6236637	0.7024133
"3,4,7,8,12"	5	0.6101239	0.6438278	0.4503448	0.638912	0.6106887	0.6746668
"3,4,7,8,9"	5	0.6350454	0.6686873	0.461039	0.6639815	0.6221713	0.6834761
"3,4,7,9,10"	5	0.6147625	0.6703024	0.4463409	0.6546024	0.621149	0.6771477
"3,4,7,9,11"	5	0.6591126	0.6686099	0.4395604	0.6735776	0.6319673	0.7142815
"3,4,7,9,12"	5	0.622837	0.6694155	0.44	0.6575798	0.6290458	0.6767569
"3,4,8,10,11"	5	0.6441243	0.6419747	0.4327938	0.6515819	0.6165853	0.7052218
"3,4,8,10,12"	5	0.6181829	0.6480022	0.4258198	0.6536119	0.6235853	0.7085212
"3,4,8,11,12"	5	0.6431591	0.6638575	0.4335601	0.6726258	0.6393761	0.7252174
"3,4,8,9,10"	5	0.6377382	0.6644981	0.440096	0.6582227	0.6197067	0.6949593
"3,4,8,9,11"	5	0.6499228	0.670274	0.4628363	0.6715364	0.6270237	0.7102345
